Age,Average Wage
19,5844.498294
20,6508.688312
21,26695.78007
22,33447.8384
23,43583.58018
24,50708.59779
25,62596.55319
26,64229.48608
27,66987.31344
28,77531.06386
29,78913.45224
30,78065.22894
31,81541.59386
32,91948.22283
33,94274.54667
34,94215.93143
35,100546.4215
36,107576.9967
37,108924.9959
38,108699.0969
39,114016.1045
40,115193.1862
41,116430.5197
42,117297.3066
43,118041.7415
44,124598.4358
45,120566.0781
46,121195.3796
47,120488.4082
48,121416.4913
49,110304.603
50,108851.2416
51,115901.8333
52,113793.0874
53,124530.8155
54,117607.7332
55,111473.2141
56,113658.4403
57,112138.692
58,113600.0506
59,110875.9456
60,99816.70154
61,102336.3937
62,96811.89563
63,98375.87951
64,95102.07807
65,93643.3328
66,72063.2044
67,105997.9399
68,87991.89564
69,68395.28634
70,62930.08882
71,88608.72855
72,51768.60356
73,22508.01327
74,41483.73358
77,35754.88991
